"","player_id","name","avg","avg_3","avg_5","avg_7","delta_3","delta_5","delta_7"
"1",640902,"Pereda, Jhonny",0.222,0.222,0.222,0.222,0,0,0
"2",683002,"Henderson, Gunnar",0.285,0,0.3,0.286,-0.285,0.015,0.001
"3",660644,"Bruján, Vidal",0.218,0.083,0.176,0.13,-0.135,-0.042,-0.088
"4",623993,"Santander, Anthony",0.248,0.214,0.261,0.233,-0.034,0.013,-0.015
"5",656537,"Hill, Derek",0.265,0.333,0.267,0.304,0.068,0.002,0.039
"6",672386,"Kirk, Alejandro",0.254,0.556,0.412,0.455,0.302,0.158,0.201
"7",519317,"Stanton, Giancarlo",0.242,0.154,0.238,0.192,-0.088,-0.004,-0.05
"8",681297,"Cowser, Colton",0.248,0.167,0.263,0.269,-0.081,0.015,0.021
"9",607680,"Pillar, Kevin",0.267,0.118,0.12,0.235,-0.149,-0.147,-0.032
"10",681351,"O'Hoppe, Logan",0.267,0.059,0.083,0.152,-0.208,-0.184,-0.115
"11",656941,"Schwarber, Kyle",0.263,0.571,0.545,0.467,0.308,0.282,0.204
"12",701538,"Merrill, Jackson",0.291,0.462,0.412,0.36,0.171,0.121,0.069
"13",669065,"Stowers, Kyle",0.213,0,0.071,0.095,-0.213,-0.142,-0.118
"14",676356,"DeLuca, Jonny",0.188,0.333,0.286,0.273,0.145,0.098,0.085
"15",672284,"Kelenic, Jarred",0.233,0.222,0.188,0.19,-0.011,-0.045,-0.043
"16",571448,"Arenado, Nolan",0.272,0.545,0.421,0.385,0.273,0.149,0.113
"17",672640,"Lopez, Otto",0.228,0.091,0.211,0.222,-0.137,-0.017,-0.00600000000000001
"18",602104,"Urías, Ramón",0.236,0,0,0.083,-0.236,-0.236,-0.153
"19",592450,"Judge, Aaron",0.321,0.333,0.421,0.407,0.012,0.1,0.086
"20",575929,"Contreras, Willson",0.253,0.182,0.176,0.167,-0.071,-0.077,-0.086
"21",687462,"Horwitz, Spencer",0.272,0.2,0.188,0.2,-0.072,-0.084,-0.072
"22",666163,"Rortvedt, Ben",0.264,0.4,0.278,0.304,0.136,0.014,0.04
"23",592178,"Bryant, Kris",0.232,0.455,0.471,0.391,0.223,0.239,0.159
"24",656716,"McKinstry, Zach",0.192,0.4,0.4,0.3,0.208,0.208,0.108
"25",593160,"Merrifield, Whit",0.205,0.333,0.25,0.25,0.128,0.045,0.045
"26",681146,"Bride, Jonah",0.268,0.3,0.333,0.269,0.032,0.065,0.001
"27",593428,"Bogaerts, Xander",0.272,0.286,0.381,0.31,0.014,0.109,0.038
"28",665489,"Guerrero Jr., Vladimir",0.321,0.556,0.5,0.48,0.235,0.179,0.159
"29",666185,"Carlson, Dylan",0.209,0.375,0.286,0.211,0.166,0.077,0.002
"30",656775,"Mullins, Cedric",0.218,0.1,0.059,0.182,-0.118,-0.159,-0.036
"31",676475,"Burleson, Alec",0.272,0.167,0.15,0.143,-0.105,-0.122,-0.129
"32",679032,"Rojas, Johan",0.24,0.3,0.308,0.312,0.06,0.068,0.072
"33",687263,"Neto, Zach",0.266,0.5,0.476,0.407,0.234,0.21,0.141
"34",670224,"Misner, Kameron",0,0,0,0,0,0,0
"35",650559,"De La Cruz, Bryan",0.24,0.143,0.087,0.194,-0.097,-0.153,-0.046
"36",702616,"Holliday, Jackson",0.177,0.2,0.333,0.348,0.023,0.156,0.171
"37",665742,"Soto, Juan",0.306,0.25,0.24,0.25,-0.056,-0.066,-0.056
"38",594807,"Duvall, Adam",0.184,0.111,0.083,0.053,-0.073,-0.101,-0.131
